MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-74105144521-7-2,"DUBLEXO EIK CHAIR, SMOKED OAK ",741051521,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Smoked Oak,8.47,74.91,3,6-10 DAYS ,$585,$650,"$1,295","$1,495","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"29 1/4""","6""","2 3/4""",11,"42 3/4""","13 1/4""","1 3/4""",9.24,,,,,,,,,,,,,,,,,,,,
95-74105144527-7-2,"DUBLEXO EIK CHAIR, SMOKED OAK ",741051527,"DUBLEXO CHAIR SEAT, 45""X35""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Smoked Oak,8.47,74.91,3,6-10 DAYS ,$585,$650,"$1,295","$1,495","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"29 1/4""","6""","2 3/4""",11,"42 3/4""","13 1/4""","1 3/4""",9.24,,,,,,,,,,,,,,,,,,,,
95-74105144XXX-7-2,"DUBLEXO EIK CHAIR, SMOKED OAK ",741051XXX,"DUBLEXO CHAIR SEAT, 45""X35""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Smoked Oak,8.47,74.91,3,Approx 12-14 WEEKS ,$675,$750,"$1,490","$1,720","47""","38""","8""","45""X31""/35""","16""","8"" W/POCKET SPRINGS AND PILLOW TOP",YES,"47 1/4""","37 1/2""","7 1/2""",47.52,"29 1/4""","6""","2 3/4""",11,"42 3/4""","13 1/4""","1 3/4""",9.24,,,,,,,,,,,,,,,,,,,,
95-585004020580-01-2,COSIAL SOFA BED W/ARM RESTS,585004580-01,"COMPACT LIFTER SEATS/FRONT, 63""X77""",ARGUS NAVY BLUE,580,ARGUS NAVY BLUE,Dry cleaning,Black metal,42.6,288.2,3,6-10 DAYS ,"$1,500","$1,670","$3,295","$3,845","65""","36""","15""","63""x77""","17""","7"" W/POCKET SPRINGS",YES,"65""","36""","15""",105.6,"66""","32 1/2""","11 1/2""",110,"42 1/2""","25""","13 1/2""",72.6,,,,,,,,,,,,,,,,,,,,
95-585004020590-01-2,COSIAL SOFA BED W/ARM RESTS,585004590-01,"COMPACT LIFTER SEATS/FRONT, 63""X77""",MICRO CHECK GREY,590,MICRO CHECK GREY,Dry cleaning,Black metal,42.6,288.2,3,6-10 DAYS ,"$1,500","$1,670","$3,295","$3,845","65""","36""","15""","63""x77""","17""","7"" W/POCKET SPRINGS",YES,"65""","36""","15""",105.6,"66""","32 1/2""","11 1/2""",110,"42 1/2""","25""","13 1/2""",72.6,,,,,,,,,,,,,,,,,,,,
95-585004020XXX-01-2,COSIAL SOFA BED W/ARM RESTS,585004XXX-01,"COMPACT LIFTER SEATS/FRONT, 63""X77""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black metal,42.6,288.2,3,Approx 12-14 WEEKS ,"$1,725","$1,920","$3,775","$4,425","65""","36""","15""","63""x77""","17""","7"" W/POCKET SPRINGS",YES,"65""","36""","15""",105.6,"66""","32 1/2""","11 1/2""",110,"42 1/2""","25""","13 1/2""",72.6,,,,,,,,,,,,,,,,,,,,
95-744002521-0-2,"CUBED SOFA 02 CHROME, FULL",744002521-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Chrome legs ,23.01,137.13,3,6-10 DAYS ,"$1,065","$1,185","$2,375","$2,725","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002527-0-2,"CUBED SOFA 02 CHROME, FULL",744002527-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,23.01,137.13,3,6-10 DAYS ,"$1,065","$1,185","$2,375","$2,725","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002XXX-0-2,"CUBED SOFA 02 CHROME, FULL",744002XXX-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,23.01,137.13,3,Approx 12-14 WEEKS ,"$1,225","$1,365","$2,750","$3,135","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002521-3-2,"CUBED SOFA 02, DARK WOOD, FULL",744002521-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,23.01,137.13,3,6-10 DAYS ,"$1,235","$1,370","$2,755","$3,150","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002527-3-2,"CUBED SOFA 02, DARK WOOD, FULL",744002527-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,23.01,137.13,3,6-10 DAYS ,"$1,235","$1,370","$2,755","$3,150","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002XXX-3-2,"CUBED SOFA 02, DARK WOOD, FULL",744002XXX-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,23.01,137.13,3,Approx 12-14 WEEKS ,"$1,415","$1,575","$3,165","$3,625","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744002521-6-2,"CUBED SOFA 02, ALUMINUM, FULL",744002521-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Aluminum,23.39,133.42,3,6-10 DAYS ,"$1,235","$1,370","$2,755","$3,150","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744002527-6-2,"CUBED SOFA 02, ALUMINUM, FULL",744002527-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Aluminum,23.39,133.42,3,6-10 DAYS ,"$1,235","$1,370","$2,755","$3,150","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744002XXX-6-2,"CUBED SOFA 02, ALUMINUM, FULL",744002XXX-01-2,"CUBED SOFA FRONT/MIDDLE SEAT, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Aluminum,23.39,133.42,3,Approx 12-14 WEEKS ,"$1,415","$1,575","$3,165","$3,625","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57""","31""","15 1/4""",87.63,"57 1/4""","26 1/4""","7 1/2""",31.9,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744002020521-2,"CUBED SOFA 02, W/ARMS, FULL",744002521-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 55"" X 79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Black Steel ,25.79,177.1,4,6-10 DAYS ,"$1,180","$1,310","$2,650","$3,015","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57 3/4""","30 3/4""","7 1/2""",86.25,"57 1/2""","26 3/4""","14 1/2""",31.9,"37""","22 3/4""","5 1/2""",33.44,"70""","13 1/2""","1 1/2""",25.52,,,,,,,,,,,,,,,,
95-744002020527-2,"CUBED SOFA 02, W/ARMS, FULL",744002527-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 55"" X 79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Black Steel ,25.79,177.1,4,6-10 DAYS ,"$1,180","$1,310","$2,650","$3,015","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57 3/4""","30 3/4""","7 1/2""",86.25,"57 1/2""","26 3/4""","14 1/2""",31.9,"37""","22 3/4""","5 1/2""",33.44,"70""","13 1/2""","1 1/2""",25.52,,,,,,,,,,,,,,,,
95-744002020XXX-2,"CUBED SOFA 02, W/ARMS, FULL",7440002XXX-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 55"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black Steel ,25.79,177.1,4,Approx 12-14 WEEKS ,"$1,355","$1,495","$3,050","$3,465","57,5""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"57 3/4""","30 3/4""","7 1/2""",86.25,"57 1/2""","26 3/4""","14 1/2""",31.9,"37""","22 3/4""","5 1/2""",33.44,"70""","13 1/2""","1 1/2""",25.52,,,,,,,,,,,,,,,,
95-744029521-0-2,"CUBED SOFA 02 CHROME, QUEEN",744029521-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Chrome legs ,26.16,145.2,3,6-10 DAYS ,"$1,165","$1,295","$2,625","$2,980","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029527-0-2,"CUBED SOFA 02 CHROME, QUEEN",744029527-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,26.16,145.2,3,6-10 DAYS ,"$1,165","$1,295","$2,625","$2,980","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029XXX-0-2,"CUBED SOFA 02 CHROME, QUEEN",744029XXX-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,26.16,145.2,3,Approx 12-14 WEEKS ,"$1,340","$1,490","$3,020","$3,430","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029521-3-2,"CUBED SOFA 02 DARK WOOD,  QUEEN",744029521-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Dark Wood,26.16,145.2,3,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029527-3-2,"CUBED SOFA 02 DARK WOOD,  QUEEN",744029527-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,26.16,145.2,3,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029XXX-3-2,"CUBED SOFA 02 DARK WOOD,  QUEEN",744029XXX-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,26.16,145.2,3,Approx 12-14 WEEKS ,"$1,550","$1,725","$3,445","$3,970","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"42 1/2""","12 1/2""","2 1/4""",17.6,,,,,,,,,,,,,,,,,,,,
95-744029521-6-2,"CUBED SOFA 02 ALUMINUM,  QUEEN",744029521-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Aluminum,26.34,146.52,3,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744029527-6-2,"CUBED SOFA 02 ALUMINUM,  QUEEN",744029527-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Aluminum,26.34,146.52,3,6-10 DAYS ,"$1,350","$1,500","$2,995","$3,450","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744029XXX-6-2,"CUBED SOFA 02 ALUMINUM,  QUEEN",744029XXX-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Aluminum,26.34,146.52,3,Approx 12-14 WEEKS ,"$1,550","$1,725","$3,445","$3,970","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"38.2""","13.2""","3.3""",18.92,,,,,,,,,,,,,,,,,,,,
95-744029020521-2,"CUBED SOFA 02, W/ARMS, QUEEN",744029521-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE GREY,521,MIXED DANCE GREY,Dry cleaning,Black Steel ,30.18,,,6-10 DAYS ,"$1,300","$1,445","$2,895","$3,325","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"37""","22 3/4""","5 1/2""",33.44,"70""","13 3/4""",1 1/2,25.96,,,,,,,,,,,,,,,,
95-744029020527-2,"CUBED SOFA 02, W/ARMS, QUEEN",744029527-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Black Steel ,30.18,,,6-10 DAYS ,"$1,300","$1,445","$2,895","$3,325","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"37""","22 3/4""","5 1/2""",33.44,"70""","13 3/4""",1 1/2,25.96,,,,,,,,,,,,,,,,
95-744029020XXX-2,"CUBED SOFA 02, W/ARMS, QUEEN",744029XXX-01-2,"CUBED DELUXE SEAT+MIDDLE SEAT 60"" X 79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black Steel ,30.18,,,Approx 12-14 WEEKS ,"$1,495","$1,650","$3,330","$3,825","62""","41,5""","15.5""","55""X79""","15""",Comfort: No-sag spring and Freon-free foam ,YES,"65""","31""","15 1/4""",92.4,"65""","26 1/4""","7 1/2""",35.2,"37""","22 3/4""","5 1/2""",33.44,"70""","13 3/4""",1 1/2,25.96,,,,,,,,,,,,,,,,
95-592160565D-02-4,KILLIAN DUAL SOFA,592160565-01-4,"SL-3-FOLD SEAT/BACK/LEGS, BLACK, 63""X77""",TWIST GRANITE,565,TWIST GRANITE,Dry cleaning,,50.0303,297.506,4,6-10 DAYS,"$1,665","$1,850","$3,595","$4,255","72.75""","28""","7.75""","63""x77""","16.5""","1.5"" MEMORY FOAM/3"" HIGH DENSITY FOAM",YES,"72.75""","28""","7.75""",62.92,"72.5""","19""","14.25""",49.78,"38.75""","38.25""","14""","23.5""","72.75""","35.5""","15""",129.8,,,,,,,,,,,,,,,,
95-592160579D-02-4,KILLIAN DUAL SOFA,592160579-01-4,"SL-3-FOLD SEAT/BACK/LEGS, BLACK, 63""X77""",KENYA GRAVEL,565,KENYA GRAVEL,Dry cleaning,,50.0303,297.506,4,6-10 DAYS,"$1,665","$1,850","$3,595","$4,255","72.75""","28""","7.75""","63""x77""","16.5""","1.5"" MEMORY FOAM/3"" HIGH DENSITY FOAM",YES,"72.75""","28""","7.75""",62.92,"72.5""","19""","14.25""",49.78,"38.75""","38.25""","14""","23.5""","72.75""","35.5""","15""",129.8,,,,,,,,,,,,,,,,
95-592160565D-01-4,EIVOR DUAL SOFA,592160565-01-4,"SL-3-FOLD SEAT/BACK/LEGS, BLACK, 63""X77""",TWIST GRANITE,565,TWIST GRANITE,Dry cleaning,,45.9373,282.106,4,6-10 DAYS,"$1,575","$1,750","$3,325","$4,025","72.75""","28""","7.75""","63""x77""","16.5""","1.5"" MEMORY FOAM/3"" HIGH DENSITY FOAM",YES,"72.75""","28""","7.75""",62.92,"72.5""","19""","14.25""",49.78,"38.4""","23.5""","5.7""",41.36,"72.75""","35.5""","15""",129.8,,,,,,,,,,,,,,,,
95-592160579D-01-4,EIVOR DUAL SOFA,592160579-01-4,"SL-3-FOLD SEAT/BACK/LEGS, BLACK, 63""X77""",KENYA GRAVEL,565,KENYA GRAVEL,Dry cleaning,,45.9373,282.106,4,6-10 DAYS,"$1,575","$1,750","$3,325","$4,025","72.75""","28""","7.75""","63""x77""","16.5""","1.5"" MEMORY FOAM/3"" HIGH DENSITY FOAM",YES,"72.75""","28""","7.75""",62.92,"72.5""","19""","14.25""",49.78,"38.4""","23.5""","5.7""",41.36,"72.75""","35.5""","15""",129.8,,,,,,,,,,,,,,,,
95-740021216-2-10-3,"ZEAL SOFA, DARK WOOD",740021216-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",FLASHTEX GREY,216,FLASHTEX DARK GREY,Dry cleaning,Dark Wood,11.92,82.5,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",9.9,,,,,,,,,,,,,,,,,,,,,,,,
95-740021525-2-10-3,ZEAL SOFA DARK WOOD,740021525-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",MIXED DANCE LIGHT BLUE,525,MIXED DANCE LIGHT BLUE,Dry cleaning,Dark Wood,11.92,82.5,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",9.9,,,,,,,,,,,,,,,,,,,,,,,,
95-740021554-2-10-3,ZEAL SOFA DARK WOOD,740021554-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",SOFT MUSTARD FLOWER,554,SOFT MUSTARD FLOWER,Dry cleaning,Dark Wood,11.92,82.5,2,6-10 DAYS ,$520,$575,"$1,095","$1,295","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",9.9,,,,,,,,,,,,,,,,,,,,,,,,
95-740021XXX-2-10-3,ZEAL SOFA DARK WOOD,740021XXX-2,"ZEAL SOFA SEAT, INCL. CUSHION COVER",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,11.92,82.5,2,Approx 12-14 WEEKS ,$600,$665,"$1,265","$1,525","84""","32""","7.5""","28""X79""","15""","7"" W/POCKET SPRINGS",YES,"80 3/4""","30""","6 3/4""",72.6,"44 3/4""","9 3/4""","9 3/4""",9.9,,,,,,,,,,,,,,,,,,,,,,,,
