MASTER ITEM NUMBER,PRODUCTS NAME,ITEM NUMBER,ITEM NAME,FABRIC STYLE,FABRIC CODE,FABRIC STYLE/COLOR,CLEANING ADVISORY ONLY ,LEGS ,CU.FT,LBS,BOXES,SHIPPING LEAD TIME,EXW COST,FREE DELIVERED COST,MAP,MSRP,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,BED SIZE,SEAT HEIGHT,MATTRESS COMFORT  ,Assembly Required? (YES/NO),SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS ,SHIPPING BOX LENGTH,SHIPPING BOX WIDTH,SHIPPING BOX HEIGHT,WEIGHT LBS 
95-543091020538-01-2,"TRIPI SOFA W/ARMS, FULL",543091538-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,,47.69,255.86,3,6-10 DAYS,"$1,530","$1,700","$3,295","$3,895","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
95-543091020579-01-2,"TRIPI SOFA W/ARMS, FULL",543091579-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,,47.69,255.86,3,6-10 DAYS,"$1,530","$1,700","$3,295","$3,895","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
95-543091020XXX-01-2,"TRIPI SOFA W/ARMS, FULL",543085XXX-01-2,"LIFTER SOFA SEAT, CUSHION & BOTTOM FRAME, 55""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,,47.69,255.86,3,Approx 12-14 WEEKS ,"$1,760","$1,955","$3,795","$3,795","81""","34.5""","18""","59""X79""","17""","7"" W/POCKET SPRINGS",YES,"81""","34 1/2""","17 3/4""",147.84,"81""","28""","9 1/2""",64.02,"40.5""","26.3""","10.2""",57.2,,,,,,,,,,,,,,,,,,,,
,,543062538,"CORNILA OTTOMAN, 30""X30""X17""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,,10.23,52.8,1,6-10 DAYS,$375,$420,$865,$865,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18.5""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543062579,"CORNILA OTTOMAN, 30""X30""X17""",KENYA GRAVEL,579,KENYA GRAVEL,Dry cleaning,,10.23,52.8,1,6-10 DAYS,$375,$420,$865,$865,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18 1/2""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,543062XXX,"CORNILA OTTOMAN, 30""X30""X17""",DIY,DIY,"""DESIGN IT YOURSELF""",,,10.23,52.8,1,Approx 12-14 WEEKS ,$430,$485,$995,$995,"31""","30.7""","18.5""",,"17""",,NO,"31""","30 1/2""","18 1/2""",52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95-748082020527-7-2,"CALUMA QUILT SOFA BED, SMOKED OAK",7480820013527,"DELUXE SOFA SEAT, 55'X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Smoked Oak,29.07,192.28,4,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"81 1/2""","5 1/2""","4""",29.04,"38 1/2""","25 1/2""","5 1/2""",24.2,,,,,,,,,,,,,,,,
95-748082020538-7-2,"CALUMA QUILT SOFA BED, SMOKED OAK",7480820013538,"DELUXE SOFA SEAT, 55'X91""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Smoked Oak,29.07,192.28,4,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"81 1/2""","5 1/2""","4""",29.04,"38 1/2""","25 1/2""","5 1/2""",24.2,,,,,,,,,,,,,,,,
95-748082020XXX-7-2,"CALUMA QUILT SOFA BED, SMOKED OAK",7480820013XXX,"DELUXE SOFA SEAT, 55'X91""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Smoked Oak,29.07,192.28,4,Approx 12-14 WEEKS ,"$1,525","$1,690","$3,215","$3,215","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"81 1/2""","5 1/2""","4""",29.04,"38 1/2""","25 1/2""","5 1/2""",24.2,,,,,,,,,,,,,,,,
95-748082004527-0-2,CASSIUS QUILT DELUXE SOFA CHROME,7480820013527,"DELUXE SOFA SEAT, 55'X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,33.66,240.04,4,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"87 1/2""","15 1/2""","6 1/4""",59.64,,,,,,,,,,,,,,,,
95-748082004538-0-2,CASSIUS QUILT DELUXE SOFA CHROME,7480820013538,"DELUXE SOFA SEAT, 55'X91""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Chrome legs ,33.66,240.04,4,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"87 1/2""","15 1/2""","6 1/4""",59.64,,,,,,,,,,,,,,,,
95-748082004XXX-0-2,CASSIUS QUILT DELUXE SOFA CHROME,7480820013XXX,"DELUXE SOFA SEAT, 55'X91""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,33.66,240.04,4,6-10 DAYS ,"$1,525","$1,690","$3,215","$3,215","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"87 1/2""","15 1/2""","6 1/4""",59.64,,,,,,,,,,,,,,,,
95-748082004527-3-2,"CASSIUS QUILT DELUXE SOFA, WALNUT",7480820013527,"DELUXE SOFA SEAT, 55'X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark wood,31.59,218.75,5,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"91 3/4""","6 1/4""","4 1/4""",30.8,"39 1/4""","13""","1 3/4""",7.92,,,,,,,,,,,,
95-748082004538-3-2,"CASSIUS QUILT DELUXE SOFA, WALNUT",7480820013538,"DELUXE SOFA SEAT, 55'X91""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Dark wood,31.59,218.75,5,6-10 DAYS ,"$1,325","$1,470","$2,795","$2,795","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"91 3/4""","6 1/4""","4 1/4""",30.8,"39 1/4""","13""","1 3/4""",7.92,,,,,,,,,,,,
95-748082004XXX-3-2,"CASSIUS QUILT DELUXE SOFA, WALNUT",7480820013XXX,"DELUXE SOFA SEAT, 55'X91""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood,31.59,218.75,5,6-10 DAYS ,"$1,525","$1,690","$3,215","$3,215","80""","31.8""","21""","55""X79""","16""","7"" W/POCKET SPRINGS",YES,"80""","31 3/4""","7 3/4""",68.2,"80""","25 1/2""","12 1/2""",70.84,"37 1/2""","17 1/4""","13 1/2""",41.36,"91 3/4""","6 1/4""","4 1/4""",30.8,"39 1/4""","13""","1 3/4""",7.92,,,,,,,,,,,,
95-748260527-0-2,SUPREMAX D.E.L. CHROME,748260527-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,35.87,209.42,3,6-10 DAYS ,"$1,260","$1,400","$2,675","$2,795","80.7""","37,7""","21""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"76 1/2""","7""","4""",38.7,,,,,,,,,,,,,,,,,,,,
95-748260528-0-2,SUPREMAX D.E.L. CHROME,748260528-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MIXED DANCE BLUE,528,MIXED DANCE BLUE,Dry cleaning,Chrome legs ,35.87,209.42,3,6-10 DAYS ,"$1,260","$1,400","$2,675","$2,795","80.7""","37,7""","21""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"76 1/2""","7""","4""",38.7,,,,,,,,,,,,,,,,,,,,
95-748260538-0-2,SUPREMAX D.E.L. CHROME,748260538-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Chrome legs ,35.87,209.42,3,6-10 DAYS ,"$1,260","$1,400","$2,675","$2,795","80.7""","37,7""","21""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"76 1/2""","7""","4""",38.7,,,,,,,,,,,,,,,,,,,,
95-748260XXX-0-2,SUPREMAX D.E.L. CHROME,748260XXX-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,35.87,209.42,3,Approx 12-14 WEEKS ,"$1,450","$1,610","$3,075","$3,215","80.7""","37,7""","21""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"76 1/2""","7""","4""",38.7,,,,,,,,,,,,,,,,,,,,
95-748282527-0-2,CASSIUS D.E.L. CHROME,748260527-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,45.38,283.47,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 3/4""","22""","14 1/4""",55,"91 1/4""","15 1/4""","6 1/4""",57.75,,,,,,,,,,,,,,,,
95-748282528-0-2,CASSIUS D.E.L. CHROME,748260528-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MIXED DANCE BLUE,528,MIXED DANCE BLUE,Dry cleaning,Chrome legs ,45.38,283.47,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 3/4""","22""","14 1/4""",55,"91 1/4""","15 1/4""","6 1/4""",57.75,,,,,,,,,,,,,,,,
95-748282538-0-2,CASSIUS D.E.L. CHROME,748260538-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Chrome legs ,45.38,283.47,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 3/4""","22""","14 1/4""",55,"91 1/4""","15 1/4""","6 1/4""",57.75,,,,,,,,,,,,,,,,
95-748282XXX-0-2,CASSIUS D.E.L. CHROME,748260XXX-01,"DELUXE EXCESS LOUNGER SOFA SEAT, 60""X79""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,45.38,283.47,4,Approx 12-14 WEEKS ,"$1,860","$2,070","$4,025","$4,750","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 3/4""","22""","14 1/4""",55,"91 1/4""","15 1/4""","6 1/4""",57.75,,,,,,,,,,,,,,,,
95-748263527-3,"RAN D.E.L. SOFA, WALNUT ",748260527-01,"D.E.L. SOFA SEAT, 63""X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark wood,39.98,243.65,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","80.3""","31.5""","9.5""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,78 3/4,5 1/2,3 1/2,35.42,41 1/4,24 3/4,3 1/2,28.6,,,,,,,,,,,,,,,,
95-748263528-3,"RAN D.E.L. SOFA, WALNUT ",748260528-01,"D.E.L. SOFA SEAT, 63""X91""",MIXED DANCE BLUE,528,MIXED DANCE NATURAL,Dry cleaning,Dark wood,39.98,243.65,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","80.3""","31.5""","9.5""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,78 3/4,5 1/2,3 1/2,35.42,41 1/4,24 3/4,3 1/2,28.6,,,,,,,,,,,,,,,,
95-748263538-3,"RAN D.E.L. SOFA, WALNUT ",748260538-01,"D.E.L. SOFA SEAT, 63""X91""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Dark wood,39.98,243.65,4,6-10 DAYS ,"$1,620","$1,800","$3,495","$4,140","80.3""","31.5""","9.5""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,78 3/4,5 1/2,3 1/2,35.42,41 1/4,24 3/4,3 1/2,28.6,,,,,,,,,,,,,,,,
95-748263XXX-3,"RAN D.E.L. SOFA, WALNUT ",748260XXX-01,"D.E.L. SOFA SEAT, 63""X91""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark wood,39.98,243.65,4,Approx 12-14 WEEKS ,"$1,860","$2,070","$4,025","$4,750","80.3""","31.5""","9.5""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,78 3/4,5 1/2,3 1/2,35.42,41 1/4,24 3/4,3 1/2,28.6,,,,,,,,,,,,,,,,
95-748190527-4,"GRAND D.E.L. SOFA, BLACK WOOD",748260527-01,"D.E.L. SOFA SEAT, 63""X91""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Black wood,54.65,351.89,8,6-10 DAYS ,"$1,870","$2,080","$3,995","$4,785","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 1/2""","33 1/2""","16 1/4""",83.6,"33""","12 1/2""","5 1/2""",25.3,"79""","5 3/4""","3 1/4""",34.76,"22 3/4""","17 1/4""","5 1/4""",7.7,"22 3/4""","17 1/4""","5 1/4""",7.7,"43 1/4""","6 1/4""","4 1/4""",13.2
95-748190528-4,"GRAND D.E.L. SOFA, BLACK WOOD",748260528-01,"D.E.L. SOFA SEAT, 63""X91""",MIXED DANCE BLUE,528,MIXED DANCE NATURAL,Dry cleaning,Black wood,54.65,351.89,8,6-10 DAYS ,"$1,870","$2,080","$3,995","$4,785","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 1/2""","33 1/2""","16 1/4""",83.6,"33""","12 1/2""","5 1/2""",25.3,"79""","5 3/4""","3 1/4""",34.76,"22 3/4""","17 1/4""","5 1/4""",7.7,"22 3/4""","17 1/4""","5 1/4""",7.7,"43 1/4""","6 1/4""","4 1/4""",13.2
95-748190538-4,"GRAND D.E.L. SOFA, BLACK WOOD",748260538-01,"D.E.L. SOFA SEAT, 63""X91""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Black wood,54.65,351.89,8,6-10 DAYS ,"$1,870","$2,080","$3,995","$4,785","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 1/2""","33 1/2""","16 1/4""",83.6,"33""","12 1/2""","5 1/2""",25.3,"79""","5 3/4""","3 1/4""",34.76,"22 3/4""","17 1/4""","5 1/4""",7.7,"22 3/4""","17 1/4""","5 1/4""",7.7,"43 1/4""","6 1/4""","4 1/4""",13.2
95-748190XXX-4,"GRAND D.E.L. SOFA, BLACK WOOD",748260XXX-01,"D.E.L. SOFA SEAT, 63""X91""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Black wood,54.65,351.89,8,Approx 12-14 WEEKS ,"$2,150","$2,395","$4,595","$5,495","81""","38""","30""","63""X79""","16""","10""  W/POCKET SPRINGS",YES,"81""","37 3/4""","10 1/2""",96.25,"81""","32 1/4""","10 1/2""",83.38,"46 1/2""","33 1/2""","16 1/4""",83.6,"33""","12 1/2""","5 1/2""",25.3,"79""","5 3/4""","3 1/4""",34.76,"22 3/4""","17 1/4""","5 1/4""",7.7,"22 3/4""","17 1/4""","5 1/4""",7.7,"43 1/4""","6 1/4""","4 1/4""",13.2
95-748251527-0,"DELUXE EXCESS OTTOMAN, CHROME",748251527,"DELUXE EXCESS PUFF, 25""X25""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251528-0,"DELUXE EXCESS OTTOMAN, CHROME",748251528,"DELUXE EXCESS PUFF, 25""X25""",MIXED DANCE BLUE,528,MIXED DANCE NATURAL,Dry cleaning,Chrome legs ,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251538-0,"DELUXE EXCESS OTTOMAN, CHROME",748251538,"DELUXE EXCESS PUFF, 25""X25""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Chrome legs ,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251XXX-0,"DELUXE EXCESS OTTOMAN, CHROME",748251XXX,"DELUXE EXCESS PUFF, 25""X25""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Chrome legs ,5.12,41,2,Approx 12-14 WEEKS ,$305,$340,$685,$825,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251527-3,"DELUXE EXCESS OTTOMAN, BLACK WOOD ",748251527,"DELUXE EXCESS PUFF, 25""X25""",MIXED DANCE NATURAL,527,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251528-3,"DELUXE EXCESS OTTOMAN, BLACK WOOD ",748251528,"DELUXE EXCESS PUFF, 25""X25""",MIXED DANCE BLUE,528,MIXED DANCE NATURAL,Dry cleaning,Dark Wood,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251538-3,"DELUXE EXCESS OTTOMAN, BLACK WOOD ",748251538,"DELUXE EXCESS PUFF, 25""X25""",MELANGE LIGHT GREY,538,MELANGE LIGHT GREY,Dry cleaning,Dark Wood,5.12,41,2,6-10 DAYS ,$265,$295,$595,$725,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
95-748251XXX-3,"DELUXE EXCESS OTTOMAN, BLACK WOOD ",748251XXX,"DELUXE EXCESS PUFF, 25""X25""",D.I.Y,DIY,"""DESIGN IT YOURSELF""",Dry cleaning,Dark Wood,5.12,41,2,Approx 12-14 WEEKS ,$305,$340,$685,$825,"28""","28""","10.5""","25""x25""","16""","10""  W/POCKET SPRINGS",YES,"28 1/4""","28""",10 1/2,30,"27 1/2""","7 1/2""","3 1/4""",11,,,,,,,,,,,,,,,,,,,,,,,,
14120,INNO PILLOW TOPPER,14120,,WHITE COTTON,14120,WHITE COTTON,Washable hot,,4.9312,9.1,1,6-10 DAYS ,$175,$190,$360,$440,"40""","14.5""","14.5""","47""x79""x2.75""",,,NO,"40 1/4""","14 1/2""","14 1/2""",9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14140,INNO PILLOW TOPPER,14140,,WHITE COTTON,14140,WHITE COTTON,Washable hot,,4.9312,11.7,1,6-10 DAYS ,$180,$200,$380,$460,"40""","14.5""","14.5""","55""x79""x2.75""",,,NO,"40 1/4""","14 1/2""","14 1/2""",11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14160,INNO PILLOW TOPPER,14160,,WHITE COTTON,14160,WHITE COTTON,Washable hot,,4.9312,12.5,1,6-10 DAYS ,$190,$210,$395,$485,"40""","14.5""","14.5""","63""x79""x2.75""",,,NO,"40 1/4""","14 1/2""","14 1/2""",12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,